Transect	Habitat	Season	Strata	Abundance	Richness	Amiga_arnaca_arnaca	Amphidecta_calliomma	Amphidecta_pignerator_pignerator	Archaeoprepona_demophon_demophon	Archaeoprepona_demophoon	Baeotus_aeilus	Bia_actorion	Caeruleuptychia_sp	Catoblepia_berecynthia	Catoblepia_soranus	Catoblepia_xanthicles	Catonephele_acontius	Catonephele_antinoe	Catonephele_numilia	Chloreuptychia_agatha	Chloreuptychia_rectilinea	Chloreuptychia_herseis	Chloreuptychia_tolumnia	Cissia_myncea	Cithaerias_aurora	Colobura_dirce	Erichthodes_antonina	Eunica_eurota	Eunica_orphise	Hamadryas_arinome	Hamadryas_feronia	Hamadryas_laodamia	Hermeuptychia_maimoune	Historis_acheronta	Historis_odius	Magneuptychia_aff_ocnus	Magneuptychia_fugitiva	Magneuptychia_ocnus	Memphis_laertes	Memphis_leonida	Memphis_phantes_vicina	Memphis_polycarmes	Memphis_moruus_moruus	Morpho_achilles	Nessaea_obrinus	Opsiphanes_invirae	Opsiphanes_quiteria_quiteria	Pareuptychia_summandosa	Posttaygetis_penela	Prepona_dexamenus	Prepona_laertes_demodice	Pseudodebis_marpessa	Pseudodebis_valentina	Siderone_galanthis_galanthis	Taygetis_cleopatra	Taygetis_mermeria	Taygetis_rufomarginata	Taygetis_thamyra	Taygetis_virgilia	Temenis_laothoe	Tigridia_acesta	Zaretis_isidora	Zaretis_itys
IG1	Igapo	Flooded	Understory	5	5	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IG1	Igapo	Flooded	Canopy	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
IG1	Igapo	Dry	Understory	19	13	0	0	0	1	0	0	0	0	0	0	0	2	1	0	4	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
IG1	Igapo	Dry	Canopy	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
IG2	Igapo	Flooded	Understory	4	4	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IG2	Igapo	Flooded	Canopy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IG2	Igapo	Dry	Understory	12	8	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
IG2	Igapo	Dry	Canopy	4	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IG3	Igapo	Flooded	Understory	4	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IG3	Igapo	Flooded	Canopy	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IG3	Igapo	Dry	Understory	7	5	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
